title,custom__category,base_url,custom__name_en,page__about_ru,page__about_en,readability_ru,readability_en
Новосибирский Государственный Университет (НГУ),общий,https://www.nsu.ru/,Novosibirsk State University,https://www.nsu.ru/n/university/history/,https://english.nsu.ru/about_NSU/history/,"{
    ""c_share"": 46.9061876247505,
    ""avg_slen"": 13.916666666666666,
    ""avg_syl"": 2.536926147704591,
    ""n_syllabes"": 1271,
    ""n_words"": 501,
    ""n_sentences"": 36,
    ""n_complex_words"": 235,
    ""n_simple_words"": 266,
    ""chars"": 3658,
    ""letters"": 3027,
    ""spaces"": 494,
    ""index_fl"": 36.27407185628741,
    ""index_flk"": 8.748727544910178,
    ""index_gf"": 24.329141716566866,
    ""index_SMOG"": 17.724890346306477
}","{
    ""c_share"": 22.994652406417114,
    ""avg_slen"": 18.24390243902439,
    ""avg_syl"": 1.7901069518716577,
    ""n_syllabes"": 1339,
    ""n_words"": 748,
    ""n_sentences"": 41,
    ""n_complex_words"": 172,
    ""n_simple_words"": 576,
    ""chars"": 4689,
    ""letters"": 3821,
    ""spaces"": 740,
    ""index_fl"": 36.874390896048,
    ""index_flk"": 12.648383983305074,
    ""index_dc"": 4.535753175948872,
    ""index_gf"": 16.4954219381766,
    ""index_SMOG"": 14.82994512269801
}"
Санкт-Петербургский политехнический университет Петра Великого,"общий технический",https://www.spbstu.ru/,Peter the Great St.Petersburg Polytechnic University,https://www.spbstu.ru/university/about-the-university/mission-and-values/,https://english.spbstu.ru/university/,"{
    ""c_share"": 62.64150943396226,
    ""avg_slen"": 26.5,
    ""avg_syl"": 3.388679245283019,
    ""n_syllabes"": 898,
    ""n_words"": 265,
    ""n_sentences"": 10,
    ""n_complex_words"": 166,
    ""n_simple_words"": 99,
    ""chars"": 2398,
    ""letters"": 2079,
    ""spaces"": 261,
    ""index_fl"": -31.274622641509467,
    ""index_flk"": 21.132358490566038,
    ""index_gf"": 35.656603773584905,
    ""index_SMOG"": 26.404597889411516
}","{
    ""c_share"": 22.866894197952217,
    ""avg_slen"": 18.903225806451612,
    ""avg_syl"": 1.8344709897610922,
    ""n_syllabes"": 1075,
    ""n_words"": 586,
    ""n_sentences"": 31,
    ""n_complex_words"": 134,
    ""n_simple_words"": 452,
    ""chars"": 3674,
    ""letters"": 2974,
    ""spaces"": 578,
    ""index_fl"": 32.45198007266322,
    ""index_flk"": 13.429015743697018,
    ""index_dc"": 4.548282593856655,
    ""index_gf"": 16.708048001761533,
    ""index_SMOG"": 15.006366140309474
}"
Белгородский государственный национальный исследовательский университет,общий,https://www.bsu.edu.ru/bsu/,Belgorod State National Research University,https://www.bsu.edu.ru/bsu/info/today/,https://www.bsu.edu.ru/en/about/today/,"{
    ""c_share"": 42.52427184466019,
    ""avg_slen"": 23.40909090909091,
    ""avg_syl"": 2.411650485436893,
    ""n_syllabes"": 3726,
    ""n_words"": 1545,
    ""n_sentences"": 66,
    ""n_complex_words"": 657,
    ""n_simple_words"": 888,
    ""chars"": 11809,
    ""letters"": 8744,
    ""spaces"": 1493,
    ""index_fl"": 31.462987643424526,
    ""index_flk"": 12.485503089143865,
    ""index_gf"": 26.37334510150044,
    ""index_SMOG"": 21.15328568328274
}","{
    ""c_share"": 27.272727272727273,
    ""avg_slen"": 27.253731343283583,
    ""avg_syl"": 1.9748083242059147,
    ""n_syllabes"": 3606,
    ""n_words"": 1826,
    ""n_sentences"": 67,
    ""n_complex_words"": 498,
    ""n_simple_words"": 1328,
    ""chars"": 12322,
    ""letters"": 9764,
    ""spaces"": 1765,
    ""index_fl"": 12.1036784587468,
    ""index_flk"": 18.34169344951039,
    ""index_dc"": 5.658148710990503,
    ""index_gf"": 21.810583446404344,
    ""index_SMOG"": 18.703890221629347
}"
Южно-Уральский государственный университет,общий,https://www.susu.ru/,South Ural State University,https://www.susu.ru/ru/university/our-susu/history,https://www.susu.ru/en/about/our-susu/history,"{
    ""c_share"": 42.52427184466019,
    ""avg_slen"": 23.40909090909091,
    ""avg_syl"": 2.411650485436893,
    ""n_syllabes"": 3726,
    ""n_words"": 1545,
    ""n_sentences"": 66,
    ""n_complex_words"": 657,
    ""n_simple_words"": 888,
    ""chars"": 11809,
    ""letters"": 8744,
    ""spaces"": 1493,
    ""index_fl"": 31.462987643424526,
    ""index_flk"": 12.485503089143865,
    ""index_gf"": 26.37334510150044,
    ""index_SMOG"": 21.15328568328274
}","{
    ""c_share"": 27.197149643705462,
    ""avg_slen"": 28.066666666666666,
    ""avg_syl"": 1.9631828978622328,
    ""n_syllabes"": 1653,
    ""n_words"": 842,
    ""n_sentences"": 30,
    ""n_complex_words"": 229,
    ""n_simple_words"": 613,
    ""chars"": 5579,
    ""letters"": 4605,
    ""spaces"": 818,
    ""index_fl"": 12.262060174188463,
    ""index_flk"": 18.521558194774347,
    ""index_dc"": 5.68653659540776,
    ""index_gf"": 22.105526524148857,
    ""index_SMOG"": 18.912554026289683
}"
Московский физико-технический институт (национальный исследовательский университет),спец технический,https://mipt.ru/,Moscow Institute of Physics and Technology,https://mipt.ru/about/,https://mipt.ru/english/about/,"{
    ""c_share"": 52.17391304347826,
    ""avg_slen"": 23.0,
    ""avg_syl"": 2.7080745341614905,
    ""n_syllabes"": 436,
    ""n_words"": 161,
    ""n_sentences"": 7,
    ""n_complex_words"": 84,
    ""n_simple_words"": 77,
    ""chars"": 1236,
    ""letters"": 1051,
    ""spaces"": 153,
    ""index_fl"": 14.179720496894419,
    ""index_flk"": 14.448944099378881,
    ""index_gf"": 30.0695652173913,
    ""index_SMOG"": 22.918633597333717
}","{
    ""c_share"": 24.489795918367346,
    ""avg_slen"": 19.6,
    ""avg_syl"": 1.9387755102040816,
    ""n_syllabes"": 190,
    ""n_words"": 98,
    ""n_sentences"": 5,
    ""n_complex_words"": 24,
    ""n_simple_words"": 74,
    ""chars"": 660,
    ""letters"": 547,
    ""spaces"": 97,
    ""index_fl"": 22.9205918367347,
    ""index_flk"": 14.931551020408165,
    ""index_dc"": 4.839098775510204,
    ""index_gf"": 17.63591836734694,
    ""index_SMOG"": 15.6451
}"
Саратовский национальный исследовательский государственный университет им. Н.Г. Чернышевского,спец технический,https://www.sgu.ru/,National Research Saratov State University,https://www.sgu.ru/info/sgu-vchera-i-segodnya,https://www.sgu.ru/en/info/saratov-state-university-past-and-present,"{
    ""c_share"": 60.63438119512886,
    ""avg_slen"": 21.4,
    ""avg_syl"": 3.1073350325686775,
    ""n_syllabes"": 10972,
    ""n_words"": 3531,
    ""n_sentences"": 165,
    ""n_complex_words"": 2141,
    ""n_simple_words"": 1390,
    ""chars"": 30507,
    ""letters"": 25869,
    ""spaces"": 3477,
    ""index_fl"": -7.7358354573775046,
    ""index_flk"": 16.579545737751342,
    ""index_gf"": 32.81375247805155,
    ""index_SMOG"": 23.70748543450164
}","{
    ""c_share"": 32.24755700325733,
    ""avg_slen"": 17.71153846153846,
    ""avg_syl"": 2.0868621064060804,
    ""n_syllabes"": 1922,
    ""n_words"": 921,
    ""n_sentences"": 52,
    ""n_complex_words"": 297,
    ""n_simple_words"": 624,
    ""chars"": 6486,
    ""letters"": 5302,
    ""spaces"": 909,
    ""index_fl"": 12.309254259584065,
    ""index_flk"": 15.942472855591749,
    ""index_dc"": 5.97038155850664,
    ""index_gf"": 19.983638185918316,
    ""index_SMOG"": 16.78189246584319
}"
Российский университет Дружбы Народов,гуманитарный,http://www.rudn.ru/,RUDN University,https://www.rudn.ru/about/history,https://eng.rudn.ru/about/history/,,
Московский государственный технический университет имени Н.Э. Баумана,спец технический,https://bmstu.ru/,Bauman Moscow State Technical University,,,,
Финансовый университет при Правительстве РФ,гуманитарный,http://www.fa.ru/,Finance Academy under the Government of the Russian Federation,http://www.fa.ru/univer/Pages/Home.aspx,https://en.fa.ru/about/mission-and-vision/,,
Нижегородский государственный университет имени Н. И. Лобачевского,общий,http://www.unn.ru/,Lobachevsky State University of Nizhni Novgorod,,,,
Московский государственный институт международных отношений (Университет) МГИМО МИД России,гуманитарный,https://mgimo.ru/,Moscow State Institute of International Relations,https://mgimo.ru/about/,https://english.mgimo.ru/basic-facts/overview,"{
    ""c_share"": 52.8980190755686,
    ""avg_slen"": 17.93421052631579,
    ""avg_syl"": 2.8026412325752017,
    ""n_syllabes"": 7640,
    ""n_words"": 2726,
    ""n_sentences"": 152,
    ""n_complex_words"": 1442,
    ""n_simple_words"": 1284,
    ""chars"": 21622,
    ""letters"": 18196,
    ""spaces"": 2692,
    ""index_fl"": 15.081788238019868,
    ""index_flk"": 12.657044155693708,
    ""index_gf"": 28.33289184075376,
    ""index_SMOG"": 20.724768527255584
}","{
    ""c_share"": 26.448736998514114,
    ""avg_slen"": 17.256410256410255,
    ""avg_syl"": 1.9717682020802378,
    ""n_syllabes"": 2654,
    ""n_words"": 1346,
    ""n_sentences"": 78,
    ""n_complex_words"": 356,
    ""n_simple_words"": 990,
    ""chars"": 9261,
    ""letters"": 7534,
    ""spaces"": 1309,
    ""index_fl"": 22.508153693755503,
    ""index_flk"": 14.406864784546809,
    ""index_dc"": 5.032173520783328,
    ""index_gf"": 17.482058901969747,
    ""index_SMOG"": 15.333674237051135
}"
"Национальный исследовательский ядерный университет ""МИФИ""",спец технический,https://mephi.ru/,National Research Nuclear University MEPI,https://mephi.ru/about/history,https://eng.mephi.ru/about/history,"{
    ""c_share"": 52.513966480446925,
    ""avg_slen"": 22.94871794871795,
    ""avg_syl"": 2.6513966480446927,
    ""n_syllabes"": 2373,
    ""n_words"": 895,
    ""n_sentences"": 39,
    ""n_complex_words"": 470,
    ""n_simple_words"": 425,
    ""chars"": 6803,
    ""letters"": 5603,
    ""spaces"": 873,
    ""index_fl"": 17.652728119180637,
    ""index_flk"": 14.010067325598051,
    ""index_gf"": 30.185073771665955,
    ""index_SMOG"": 22.960873845174664
}","{
    ""c_share"": 23.26530612244898,
    ""avg_slen"": 22.272727272727273,
    ""avg_syl"": 1.8326530612244898,
    ""n_syllabes"": 449,
    ""n_words"": 245,
    ""n_sentences"": 11,
    ""n_complex_words"": 57,
    ""n_simple_words"": 188,
    ""chars"": 1516,
    ""letters"": 1196,
    ""spaces"": 242,
    ""index_fl"": 29.185732838590013,
    ""index_flk"": 14.721669758812617,
    ""index_dc"": 4.778319109461966,
    ""index_gf"": 18.215213358070503,
    ""index_SMOG"": 16.133371291317395
}"
Воронежский государственный университет,общий,https://www.vsu.ru/,Voronezh State University,http://www.vsu.ru/ru/university/index.html,http://www.vsu.ru/en/about/history.html,"{
    ""c_share"": 57.8167115902965,
    ""avg_slen"": 19.526315789473685,
    ""avg_syl"": 2.893530997304582,
    ""n_syllabes"": 2147,
    ""n_words"": 742,
    ""n_sentences"": 38,
    ""n_complex_words"": 429,
    ""n_simple_words"": 313,
    ""chars"": 6084,
    ""letters"": 4993,
    ""spaces"": 741,
    ""index_fl"": 7.549576535678824,
    ""index_flk"": 14.100671017165556,
    ""index_gf"": 30.93721095190807,
    ""index_SMOG"": 22.323820100507902
}","{
    ""c_share"": 26.829268292682926,
    ""avg_slen"": 25.625,
    ""avg_syl"": 1.921951219512195,
    ""n_syllabes"": 394,
    ""n_words"": 205,
    ""n_sentences"": 8,
    ""n_complex_words"": 55,
    ""n_simple_words"": 150,
    ""chars"": 1324,
    ""letters"": 1049,
    ""spaces"": 199,
    ""index_fl"": 18.228551829268298,
    ""index_flk"": 17.0827743902439,
    ""index_dc"": 5.507341463414634,
    ""index_gf"": 20.981707317073173,
    ""index_SMOG"": 18.10804710084791
}"
Российский экономический университет им. Г.В. Плеханова,гуманитарный,https://www.rea.ru/,Plekhanov Russian University of Economics,https://www.rea.ru/ru/Pages/About.aspx,https://www.rea.ru/en/Pages/About.aspx,"{
    ""c_share"": 55.77156743620899,
    ""avg_slen"": 21.102564102564102,
    ""avg_syl"": 3.040097205346294,
    ""n_syllabes"": 2502,
    ""n_words"": 823,
    ""n_sentences"": 39,
    ""n_complex_words"": 459,
    ""n_simple_words"": 364,
    ""chars"": 7139,
    ""letters"": 5723,
    ""spaces"": 841,
    ""index_fl"": -3.3081753746456,
    ""index_flk"": 15.942966009284358,
    ""index_gf"": 30.74965261550924,
    ""index_SMOG"": 22.72742589004244
}","{
    ""c_share"": 34.72931562819203,
    ""avg_slen"": 27.194444444444443,
    ""avg_syl"": 2.1756894790602654,
    ""n_syllabes"": 2130,
    ""n_words"": 979,
    ""n_sentences"": 36,
    ""n_complex_words"": 340,
    ""n_simple_words"": 639,
    ""chars"": 6979,
    ""letters"": 5773,
    ""spaces"": 1000,
    ""index_fl"": -4.830691039609519,
    ""index_flk"": 20.688969186244467,
    ""index_dc"": 6.832603382135967,
    ""index_gf"": 24.76950402905459,
    ""index_SMOG"": 20.685406084519414
}"
Дальневосточный федеральный университет,общий,https://www.dvfu.ru/,Far Eastern Federal University,https://www.dvfu.ru/about/,https://www.dvfu.ru/en/about/,"{
    ""c_share"": 55.05050505050505,
    ""avg_slen"": 18.0,
    ""avg_syl"": 2.994949494949495,
    ""n_syllabes"": 593,
    ""n_words"": 198,
    ""n_sentences"": 11,
    ""n_complex_words"": 109,
    ""n_simple_words"": 89,
    ""chars"": 1635,
    ""letters"": 1400,
    ""spaces"": 198,
    ""index_fl"": 3.4385353535353715,
    ""index_flk"": 14.093131313131313,
    ""index_gf"": 29.220202020202024,
    ""index_SMOG"": 21.112087490706575
}","{
    ""c_share"": 20.851063829787233,
    ""avg_slen"": 21.363636363636363,
    ""avg_syl"": 1.7531914893617022,
    ""n_syllabes"": 412,
    ""n_words"": 235,
    ""n_sentences"": 11,
    ""n_complex_words"": 49,
    ""n_simple_words"": 186,
    ""chars"": 1409,
    ""letters"": 1146,
    ""spaces"": 230,
    ""index_fl"": 36.8309090909091,
    ""index_flk"": 13.429477756286271,
    ""index_dc"": 4.3520193423597675,
    ""index_gf"": 16.88588007736944,
    ""index_SMOG"": 15.186304673781336
}"
Алтайский государственный университет,общий,https://www.asu.ru/,Altai State University,https://www.asu.ru/univer_about/info/univer_facts/,https://www.asu.ru/en/univer_about/mission/,"{
    ""c_share"": 61.486486486486484,
    ""avg_slen"": 37.0,
    ""avg_syl"": 3.0878378378378377,
    ""n_syllabes"": 457,
    ""n_words"": 148,
    ""n_sentences"": 4,
    ""n_complex_words"": 91,
    ""n_simple_words"": 57,
    ""chars"": 1287,
    ""letters"": 1095,
    ""spaces"": 129,
    ""index_fl"": -26.844054054054027,
    ""index_flk"": 24.08121621621621,
    ""index_gf"": 39.394594594594594,
    ""index_SMOG"": 30.377163096300993
}","{
    ""c_share"": 30.18867924528302,
    ""avg_slen"": 31.8,
    ""avg_syl"": 2.0377358490566038,
    ""n_syllabes"": 324,
    ""n_words"": 159,
    ""n_sentences"": 5,
    ""n_complex_words"": 48,
    ""n_simple_words"": 111,
    ""chars"": 1092,
    ""letters"": 919,
    ""spaces"": 153,
    ""index_fl"": 2.165547169811333,
    ""index_flk"": 20.85728301886793,
    ""index_dc"": 6.344072452830189,
    ""index_gf"": 24.79547169811321,
    ""index_SMOG"": 20.829396946661657
}"
Московский педагогический государственный университет,гуманитарный,http://mpgu.su/,Moscow State Pedagogical University,http://mpgu.su/ob-mpgu/nasha-istoriya/,http://en.mpgu.su/about-mpgu/history-of-mpgu/,"{
    ""c_share"": 54.417513682564504,
    ""avg_slen"": 20.464,
    ""avg_syl"": 2.812353401094605,
    ""n_syllabes"": 7194,
    ""n_words"": 2558,
    ""n_sentences"": 125,
    ""n_complex_words"": 1392,
    ""n_simple_words"": 1166,
    ""chars"": 20634,
    ""letters"": 17206,
    ""spaces"": 2535,
    ""index_fl"": 11.209360594214246,
    ""index_flk"": 13.967539827990617,
    ""index_gf"": 29.952605473025802,
    ""index_SMOG"": 22.192903238598532
}","{
    ""c_share"": 25.794621026894866,
    ""avg_slen"": 16.36,
    ""avg_syl"": 1.9205378973105134,
    ""n_syllabes"": 1571,
    ""n_words"": 818,
    ""n_sentences"": 50,
    ""n_complex_words"": 211,
    ""n_simple_words"": 607,
    ""chars"": 5430,
    ""letters"": 4307,
    ""spaces"": 808,
    ""index_fl"": 27.752093887530577,
    ""index_flk"": 13.452747188264059,
    ""index_dc"": 4.8844266601466995,
    ""index_gf"": 16.861848410757947,
    ""index_SMOG"": 14.864588204586973
}"
Первый Московский государственный медицинский университет им. И.М. Сеченова,медицинский,https://www.sechenov.ru/,Moscow Medical Academy,,,,
